,ЗП,Ищет работу на должность:,"Город, переезд, командировки",Занятость,График,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы месяцев,Город,Готовность к переезду,Готовность к командировкам,Готовность к переезду1,Готовность к командировкам1
32062,50000 руб.,программист,"Красноярск , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",частичная занятость,удаленная работа,Дисконтный клуб Копилка,Программист,07.05.2019 15:16,Имеется собственный автомобиль,высшее,М,52,365.0,город-миллионник,True,False,True,True
32063,40000 руб.,"Специалист,системный администратор","Яшалта , готов к переезду (Москва, Ростов-на-Дону) , не готов к командировкам",полная занятость,"полный день, вахтовый метод",Федеральное казначейство России,Старший специалист,25.04.2019 19:32,Имеется собственный автомобиль,высшее,М,29,50.0,другие,True,False,True,True
32160,32000 руб.,"Системный администратор, инженер отдела системного администрирования, эникейщик.","Омск , хочу переехать (Москва, Санкт-Петербург, Севастополь, Симферополь, Бийск, Феодосия, Горно-Алтайск, Барнаул, Южно-Сахалинск, Владикавказ, Владивосток, Волгоград, Южно-Курильск, Большой Камень, Дальнереченск, Заполярный (Ямало-Ненецкий АО), Находка,","стажировка, частичная занятость, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","ООО ""ГлавБухСервис""",Заместитель директора,25.04.2019 10:00,Не указано,высшее,М,32,119.0,город-миллионник,True,False,True,True
32677,80000 руб.,Руководитель проекта,"Ульяновск , готов к переезду (Москва, Самара) , не готов к командировкам",полная занятость,"полный день, удаленная работа",ООО Ресурс-Ойл,Менеджер проектов,22.04.2019 10:25,Не указано,высшее,М,26,44.0,другие,True,False,True,True
32800,150000 руб.,Руководитель направления телекоммуникационных проектов,"Чебоксары , готов к переезду (Москва, Санкт-Петербург, Калининградская область) , не готов к командировкам",полная занятость,полный день,Эзервей,Технический директор,10.04.2019 15:52,Имеется собственный автомобиль,высшее,М,42,240.0,другие,True,False,True,True
32850,120000 руб.,Ведущий инженер-программист / Руководитель проекта,"Хабаровск , готова к переезду (Москва, Санкт-Петербург) , не готова к командировкам",полная занятость,"полный день, удаленная работа","ООО ""Альянс АБ""",Старший программист-аналитик,09.04.2019 04:58,Имеется собственный автомобиль,высшее,Ж,32,131.0,другие,True,False,True,True
33093,2000 USD,Project/Product manager,"Нур-Султан , готов к переезду (Москва, Санкт-Петербург, Австралия, Австрия, Бельгия, Тайвань, Великобритания, Швеция, Германия, Дания, Алматы, Ирландия, Испания, Италия, Канада, Мальта, Китай, Лихтенштейн, Монако, Сент-Винсент и Гренадины, Латвия, Словени",полная занятость,"удаленная работа, полный день","ТОО ""Бюро Инженерного Проектирования""",Специалист проектного офиса,26.04.2019 11:55,Имеется собственный автомобиль,высшее,М,27,55.0,другие,True,False,True,True
33285,40000 руб.,Инженер технолог-программист,"Воронеж , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,полный день,ООО ЦентрПласт,Процессный  технолог по станкам с ЧПУ,12.05.2019 13:00,Не указано,высшее,М,44,198.0,город-миллионник,True,False,True,True
33484,30000 руб.,Системный администратор,"Шахты , готов к переезду (Санкт-Петербург, Краснодар, Адлер, Лазаревское, Ростов-на-Дону, Сочи) , не готов к командировкам",полная занятость,полный день,"СНС, Группа Компаний",Специалист по информационным технологиям,26.04.2019 19:37,Не указано,высшее,М,30,57.0,другие,True,False,True,True
33577,20000 руб.,Программист PHP,"Екатеринбург , готов к переезду (Первоуральск, Ирбит) , не готов к командировкам",полная занятость,полный день,Ооо ивелена,Программист,26.04.2019 11:57,Не указано,среднее специальное,М,26,8.0,город-миллионник,True,False,True,True
33615,40000 руб.,Стажер-разработчик abap,"Таганрог , готов к переезду (Москва, Санкт-Петербург, Краснодар, Казань, Ростов-на-Дону) , не готов к командировкам",полная занятость,полный день,OOO ДС БАРС,Инженер-программист,07.05.2019 12:54,Не указано,высшее,М,24,12.0,другие,True,False,True,True
33894,300000 руб.,"Технический директор, Операционный директор, Руководитель технического Startup проекта","Санкт-Петербург ,  м. Проспект Просвещения , готов к переезду (Узбекистан, Санкт-Петербург, Республика Крым, Московская область, Казахстан, Другие страны, Вологодская область, Ярославская область, Беларусь, Кыргызстан, Ленинградская область, Республика Ка",полная занятость,полный день,«Kcell» & «Beeline Казахстан»,Директор объединенной эксплуатации сетей,07.05.2019 15:09,Имеется собственный автомобиль,высшее,М,39,197.0,Санкт-Петербург,True,False,True,True
33908,60000 руб.,Системный администратор,"Тюмень , готов к переезду (Абхазия, Москва, Санкт-Петербург, Нижний Новгород, Екатеринбург, Новосибирск, Австралия, Австрия, Чехия, Польша, Вьетнам, Шри-Ланка, Индия, Бельгия, Великобритания, США, Швеция, Греция, Германия, Дания, Анапа, Ирландия, Финлянди",полная занятость,полный день,"СУПЛАВ АО ""Транснефть - Сибирь""",Инженер 1 категории,09.04.2019 13:18,Имеется собственный автомобиль,высшее,М,28,78.0,другие,True,False,True,True
34114,1500 USD,Data analyst / Data scientist,"Калининград , готов к переезду (Ирландия, Канада) , не готов к командировкам",полная занятость,"гибкий график, полный день, удаленная работа",Flexbe,Data Analyst,25.04.2019 12:59,Не указано,неоконченное высшее,М,30,56.0,другие,True,False,True,True
34208,190000 руб.,TeamLead Oracle/Java,"Москва , готов к переезду (Нидерланды, Австралия, Чехия, Болгария, Новая Зеландия, Армения, Люксембург, Норвегия, Беларусь, ОАЭ, Сербия, Великобритания, США, Швеция, Германия, Израиль, Финляндия, Испания, Франция, Италия, Швейцария, Канада, Исландия, Япон",полная занятость,полный день,AT Consulting,Руководитель группы,07.12.2018 14:23,Не указано,высшее,М,38,185.0,Москва,True,False,True,True
34331,200000 руб.,Ведущий программист 1C / Системный архитектор,"Москва ,  м. Чертановская , готов к переезду (Россия, Другие страны) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","полный день, удаленная работа",8bit group,Программист-разработчик,15.07.2018 09:36,Не указано,высшее,М,43,250.0,Москва,True,False,True,True
34735,40000 руб.,Веб-дизайнер,"Луганск , готов к переезду (Москва, Санкт-Петербург, Киев) , не готов к командировкам","стажировка, частичная занятость, проектная работа, полная занятость","гибкий график, удаленная работа",Индивидуальное предпринимательство / частная практика / фриланс,Веб-дизайнер,22.04.2019 17:29,Не указано,среднее специальное,М,20,14.0,другие,True,False,True,True
34910,80000 руб.,Системный администратор,"Мурманск , готов к переезду (Ярославль, Белгород, Санкт-Петербург, Казань) , не готов к командировкам",полная занятость,полный день,"Филиал АО ""СО ЕЭС"" Кольское РДУ",Специалист IT отдела,08.04.2019 11:49,Имеется собственный автомобиль,высшее,М,36,210.0,другие,True,False,True,True
35014,100000 руб.,"IT Analyst - ECM, IT Support coordinator","Уфа , хочу переехать (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"полный день, удаленная работа",Юнилевер Русь,"Младший Аналитик СЭД, Координатор поддержки",19.04.2019 20:59,Имеется собственный автомобиль,высшее,М,26,87.0,город-миллионник,True,False,True,True
35034,25000 руб.,Консультант 1С,"Челябинск , готов к переезду (Москва, Астраханская область, Санкт-Петербург, Республика Крым, Республика Башкортостан, Московская область, Волгоградская область, Сахалинская область, Ставропольский край, Свердловская область, Нижегородская область, Арханг","проектная работа, стажировка, частичная занятость, полная занятость","вахтовый метод, удаленная работа, гибкий график, полный день, сменный график",Межрайонная ИФНС №33 по Республике Башкортостан,Специалист 1 разряда Отдела учета и работы с налогоплательщиками,07.05.2019 09:17,Имеется собственный автомобиль,высшее,М,24,50.0,город-миллионник,True,False,True,True
35056,60000 руб.,Специалист по тестированию,"Великий Новгород , готова к переезду (Москва, Санкт-Петербург) , не готова к командировкам",частичная занятость,удаленная работа,ПАО АКРОН,Инженер по автоматизированным системам управления производством,26.04.2019 09:59,Не указано,высшее,Ж,25,22.0,другие,True,False,True,True
35069,30000 руб.,Учетчик,"Самара , готов к переезду (Санкт-Петербург, Новая Ладога) , не готов к командировкам",полная занятость,удаленная работа,ОАО Самарский резервуарный завод,"Кладовщик,",19.04.2019 10:18,Не указано,среднее специальное,М,33,4.0,город-миллионник,True,False,True,True
35210,200000 руб.,Javascript developer (React),"Санкт-Петербург ,  м. Ленинский проспект , готов к переезду (Финляндия, Эстония) , не готов к командировкам","проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день",Distillery,Senior Frontend developer,22.04.2019 16:47,Не указано,высшее,М,27,66.0,Санкт-Петербург,True,False,True,True
35263,30000 руб.,Технический специалист,"Тольятти , готов к переезду (Санкт-Петербург, Московская область, Финляндия, Швейцария, Новая Зеландия, Кипр, Канада, Южная Корея, Япония, Норвегия, ОАЭ, Китай, Самарская область, Великобритания, США, Швеция, Греция, Королевство Саудовская Аравия, Германи","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",Yota,Специалист технической поддержки,14.05.2019 19:02,Имеется собственный автомобиль,среднее специальное,М,24,47.0,другие,True,False,True,True
35642,35000 руб.,Системный администратор,"Улан-Удэ , готов к переезду (Иркутск, Шелехов) , не готов к командировкам",полная занятость,полный день,ГБУЗ Республиканский психоневрологический диспансер МЗ РБ,Системный администратор,26.04.2019 09:36,Не указано,высшее,М,31,114.0,другие,True,False,True,True
35807,65000 руб.,Инженер по автоматизированным системам управления производством,"Челябинск , готов к переезду (Москва, Санкт-Петербург, Екатеринбург, Южноуральск, Челябинск, Миасс, Самара, Златоуст, Тюмень) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график",Вооруженные силы РФ,Помощник командира по финансово-экономической работе,07.05.2019 09:45,Не указано,высшее,М,28,70.0,город-миллионник,True,False,True,True
35810,60000 руб.,Аналитик SQL,"Москва , готов к переезду (Санкт-Петербург, Новосибирск, Казань, Сочи, Иннополис) , не готов к командировкам",полная занятость,полный день,Content Manager,Upwork,27.04.2019 09:49,Не указано,высшее,М,35,68.0,Москва,True,False,True,True
35977,30000 руб.,Инженер-монтажник,"Иваново (Ивановская область) , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","стажировка, полная занятость","гибкий график, полный день, сменный график, вахтовый метод",ООО Мегастрой,Дежурный оператор станции водопонижения.,12.04.2019 06:22,Не указано,среднее специальное,М,24,65.0,другие,True,False,True,True
36351,50000 руб.,Менеджер проекта,"Троицк (Московская область) , готова к переезду (Москва, Московская область, Подольск (Московская область)) , не готова к командировкам","проектная работа, стажировка, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день",ООО «Инновационные системы размещения»,Контент-менеджер / Менеджер проекта,22.04.2019 19:34,Не указано,среднее специальное,Ж,26,32.0,другие,True,False,True,True
36441,30000 руб.,Инженер-программист 1С,"Екатеринбург ,  м. Уральская , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, полная занятость","удаленная работа, гибкий график, полный день","Производственная группа ""ОПОРА""",Специалист по сопровождению 1С,07.05.2019 19:11,Не указано,высшее,М,34,186.0,город-миллионник,True,False,True,True
36543,70000 руб.,Системный администратор,"Москва , готов к переезду (Гвардейское (Республика Крым), Мирное (Республика Крым), Сочи) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день, удаленная работа",ООО Гимнастика для всех,Менеджер по автоматизации бизнеса,07.05.2019 11:42,Имеется собственный автомобиль,неоконченное высшее,М,24,44.0,Москва,True,False,True,True
36763,35000 руб.,Системный администратор,"Петрозаводск , готов к переезду (Архангельская область, Ленинградская область, Республика Коми, Ненецкий АО, Санкт-Петербург, Псковская область, Мурманская область, Республика Карелия, Новгородская область, Калининградская область, Смоленская область) , г","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",ГБУ РК «Карельский центр авиационной и наземной охраны лесов»,Инженер производственного отдела,16.04.2019 12:40,Имеется собственный автомобиль,неоконченное высшее,М,33,164.0,другие,True,False,True,True
36788,40000 руб.,Ведущий UI/UX/Web дизайнер,"Уфа , хочу переехать (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,полный день,Студия Халикова,https://halikov-studio.ru/,10.04.2019 12:00,Имеется собственный автомобиль,высшее,М,28,83.0,город-миллионник,True,False,True,True
36818,800 USD,Junior game designer / Game QA,"Симферополь , готов к переезду (Москва, Санкт-Петербург, Екатеринбург, Киев, Новосибирск, Краснодар, Днепр (Днепропетровск), Харьков, Волгоград, Ростов-на-Дону, Одесса) , не готов к командировкам","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","полный день, удаленная работа",Plarium,QA,22.04.2019 01:02,Не указано,высшее,М,29,84.0,другие,True,False,True,True
37035,600 бел.руб.,Инженер-программист,"Барановичи , готов к переезду (Минск, Брест) , не готов к командировкам",полная занятость,полный день,"УЗ ""Барановичская детская городская больница""",Инженер-программист,22.04.2019 14:39,Не указано,высшее,М,30,111.0,другие,True,False,True,True
37139,100000 руб.,Инженер ИТ,"Саратов , готов к переезду (Москва, Санкт-Петербург, Липецкая область, Республика Крым, Московская область, Волгоградская область, Пензенская область, Ставропольский край, Нижегородская область, Ленинградская область, Самарская область, Воронежская област",полная занятость,"гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","ООО ""Интеграл""",Инженер,08.04.2019 14:35,Имеется собственный автомобиль,высшее,М,24,57.0,другие,True,False,True,True
37224,20000 руб.,Системный администратор,"Ижевск , готов к переезду (Москва, Санкт-Петербург, Екатеринбург, Аксай (Казахстан)) , не готов к командировкам","стажировка, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод",ООО Сарапульский хлебокомбинат,Системный администратор,22.04.2019 11:00,Не указано,среднее специальное,М,23,10.0,другие,True,False,True,True
37556,50000 руб.,UI / UX дизайнер,"Белоозёрский (Московская область) , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Индивидуальное предпринимательство / частная практика / фриланс,"Web-дизайнер, Верстальщик",07.05.2019 11:25,Имеется собственный автомобиль,высшее,М,25,35.0,другие,True,False,True,True
37671,60000 руб.,Техник связи,"Белоярский , готова к переезду (Россия, Санкт-Петербург) , не готова к командировкам",полная занятость,полный день,"ООО ""Газпром трансгаз Югорск""",Электромеханик связи,09.04.2019 22:18,Не указано,высшее,Ж,43,292.0,другие,True,False,True,True
37705,130000 руб.,Начальник (зам. начальника) отдела,"Подольск (Московская область) , готов к переезду (Щербинка, Москва, Климовск) , не готов к командировкам",полная занятость,полный день,"ЗАО ""ЭВРИКА"" (Поставка, пуско-наладка, сервисное обслуживание и ремонт IT-оборудования)",Заместитель начальника комплексно-объектового отдела,26.04.2019 10:09,Не указано,высшее,М,52,355.0,другие,True,False,True,True
38017,70000 руб.,SEO-специалист,"Севастополь , готов к переезду (Москва, Индонезия, Малайзия) , не готов к командировкам",полная занятость,"полный день, удаленная работа",21 Студия,SEO-оптимизатор,06.05.2019 23:01,Имеется собственный автомобиль,высшее,М,28,38.0,другие,True,False,True,True
38219,50000 руб.,Аналитик,"Благовещенск (Амурская область) , готов к переезду (Москва, Санкт-Петербург, Екатеринбург) , не готов к командировкам",полная занятость,полный день,"Азиатско-Тихоокеанский Банк, ПАО",Аналитик,07.05.2019 09:26,Не указано,неоконченное высшее,М,26,35.0,другие,True,False,True,True
38361,500 USD,ux ui designer,"Харьков , готов к переезду (Беларусь, Россия, Другие страны, Грузия) , не готов к командировкам",полная занятость,полный день,AMP Design,Ux Ui designer,22.04.2019 21:01,Имеется собственный автомобиль,высшее,М,22,27.0,другие,True,False,True,True
38377,160000 руб.,Аналитик big data,"Москва , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,полный день,"OZON.ru, Интернет-магазин",Аналитик баз данных,22.04.2019 17:19,Имеется собственный автомобиль,высшее,М,26,62.0,Москва,True,False,True,True
38461,80000 руб.,Менеджер по продажам (удаленно),"Чебоксары , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, полная занятость",удаленная работа,Делориан,Менеджер по продажам,07.05.2019 19:08,Не указано,высшее,М,30,100.0,другие,True,False,True,True
38677,135000 руб.,"""Программист"", ""web-программист""","Москва ,  м. Кузьминки , готов к переезду (Нидерланды, Австрия, Чехия, Болгария, Польша, Новая Зеландия, Норвегия, Швеция, Германия, Дания, Финляндия, Испания, Италия, Швейцария, Эстония, Португалия, Венгрия, Андорра, Монако, Черногория, Хорватия, Латвия,","частичная занятость, полная занятость","полный день, удаленная работа",Банк Восточный,Ведущий программист,19.04.2019 16:39,Не указано,высшее,М,37,132.0,Москва,True,False,True,True
38748,3000 EUR,Управление IT проектами/ Тестирование ПО,"Германия , готов к переезду (Москва, Краснодар) , не готов к командировкам","проектная работа, полная занятость","полный день, удаленная работа",DPS Engineering GmbH,Java-программист,26.04.2019 10:54,Имеется собственный автомобиль,высшее,М,31,67.0,другие,True,False,True,True
39339,90000 руб.,Frontend-разработчик,"Торжок , готов к переезду (Москва, Санкт-Петербург, Химки) , не готов к командировкам",полная занятость,удаленная работа,«ТЕСТОГРАФ» - конструктор онлайн опросов,Frontend-разработчик,22.04.2019 21:04,Имеется собственный автомобиль,среднее специальное,М,27,56.0,другие,True,False,True,True
39438,40000 руб.,Руководитель торговой секции,"Нижний Новгород ,  м. Канавинская , готова к переезду (Москва, Санкт-Петербург, Сочи) , не готова к командировкам",полная занятость,"полный день, сменный график","ООО ""Спортмастер""  (более 495 розничных магазинов в сети)",Начальник отдела,26.04.2019 16:16,Не указано,высшее,Ж,28,101.0,город-миллионник,True,False,True,True
39590,250000 руб.,"Руководитель отдела разработки ПО, руководитель проекта, project manager, program manager","Санкт-Петербург ,  м. Проспект Большевиков , готов к переезду (Израиль, Нидерланды, Ирландия, Финляндия, Испания, Франция, Австралия, Италия, Австрия, Чехия, Швейцария, Новая Зеландия, Канада, Люксембург, Норвегия, Шотландия, ОАЭ, Бельгия, Великобритания,","проектная работа, полная занятость","гибкий график, полный день, удаленная работа",Элком +,Начальник департамента разработки ПО,11.04.2019 01:11,Имеется собственный автомобиль,высшее,М,35,176.0,Санкт-Петербург,True,False,True,True
39647,45000 руб.,Ведущий инженер департамента информационных технологий,"Нижневартовск , готов к переезду (Сургут, Тюмень) , не готов к командировкам",полная занятость,полный день,"ООО ""Юралс Кэпитал""",Ведущий инженер ДСА,07.05.2019 08:55,Не указано,среднее специальное,М,23,44.0,другие,True,False,True,True
39724,68000 руб.,Монтажник слаботочных систем,"Москва ,  м. Царицыно , готов к переезду (Беларусь, Россия, Украина, Другие страны, Грузия) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график, вахтовый метод",ООО Верона,Менеджер по продажам,07.05.2019 14:03,Не указано,высшее,М,29,73.0,Москва,True,False,True,True
40165,30000 руб.,"Системный администратор, электрик","Воронеж , готов к переезду (Москва, Санкт-Петербург, Республика Адыгея, Ярославская область, Нижегородская область, Республика Дагестан, Ленинградская область, Республика Коми, Республика Калмыкия, Республика Мордовия, Белгородская область, Республика Инг",полная занятость,полный день,"ОАО ""ЕСКЗ""",Электрик,25.04.2019 21:19,Не указано,высшее,М,32,92.0,город-миллионник,True,False,True,True
40253,55000 руб.,Системный инженер,"Нижний Новгород , готов к переезду (Москва, Московская область) , не готов к командировкам",полная занятость,полный день,Intech,Lead system engineer,25.04.2019 23:43,Не указано,высшее,М,34,155.0,город-миллионник,True,False,True,True
40348,30000 руб.,Спортивный аналитик,"Санкт-Петербург ,  м. Комендантский проспект , готов к переезду (Нидерланды, Ирландия, Испания, Франция, Италия, Австрия, Чехия, Польша, Швейцария, Исландия, Япония, Шотландия, Португалия, Бельгия, Сербия, Великобритания, США, Хорватия, Латвия, Словения,",полная занятость,полный день,"Завод ""Huyndai""",Оператор контроля качества,22.04.2019 17:26,Не указано,высшее,М,29,88.0,Санкт-Петербург,True,False,True,True
40356,30000 руб.,Специалист по информационной безопасности,"Иркутск , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"удаленная работа, гибкий график, полный день, сменный график",войсковая часть 73752,Инженер (АСУ),26.04.2019 16:13,Имеется собственный автомобиль,высшее,М,23,11.0,другие,True,False,True,True
40376,60000 руб.,Программист,"Москва , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","проектная работа, стажировка, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график","Муниципальное образовательное учреждение дополнительного профессионального образования(повышения квалификации) специалистов ""Информационно-методический центр""",Инженер-программист,07.05.2019 13:24,Не указано,среднее,М,36,51.0,Москва,True,False,True,True
40713,3000 EUR,QA Automation Engineer,"Екатеринбург ,  м. Площадь 1905 года , готов к переезду (Беларусь, Россия, Другие страны, Грузия) , не готов к командировкам",полная занятость,"гибкий график, полный день, удаленная работа","Stalepromishlennaya company, LLC",QA Automation Engineer,26.04.2019 17:47,Имеется собственный автомобиль,высшее,М,38,136.0,город-миллионник,True,False,True,True
40720,90000 руб.,Разработчик Oracle,"Комсомольск-на-Амуре , хочу переехать (Краснодар, Ростов-на-Дону) , не готов к командировкам",полная занятость,полный день,"Центр Финансовых Технологий, Группа компаний",Ведущий инженер-проектировщик,07.05.2019 00:36,Имеется собственный автомобиль,высшее,М,36,178.0,другие,True,False,True,True
40928,50000 руб.,Системный инженер,"Кызыл , хочу переехать (Красноярск, Сосновоборск) , не готов к командировкам",полная занятость,"гибкий график, полный день",Федеральная сетевая компания ЕЭС (ОАО ФСК ЕЭС) - Хакасское предприятие МЭС,Инженер первой категории - руководитель Тывинского участка СДТУ,07.04.2019 11:44,Не указано,высшее,М,35,165.0,другие,True,False,True,True
40929,60000 руб.,Специалист по тестированию,"Великий Новгород , готова к переезду (Москва, Санкт-Петербург) , не готова к командировкам",частичная занятость,удаленная работа,ПАО АКРОН,Инженер по автоматизированным системам управления производством,07.05.2019 11:19,Не указано,высшее,Ж,25,23.0,другие,True,False,True,True
41249,120000 руб.,"Системный администратор, сетевой администратор","Санкт-Петербург , готов к переезду (Москва, Ленинградская область, Санкт-Петербург) , не готов к командировкам",полная занятость,полный день,Центр развития перспективных технологий,DevOps engineer,13.04.2019 10:34,Не указано,высшее,М,63,240.0,Санкт-Петербург,True,False,True,True
41301,50000 руб.,Начальник отдела информационных технологий,"Тамбов , готов к переезду (Краснодар, Воронеж) , не готов к командировкам",полная занятость,полный день,ОАО «АРТИ-Завод» Тамбов,Начальник отдела информационных технологий,07.05.2019 14:47,Не указано,высшее,М,48,243.0,другие,True,False,True,True
41500,150000 руб.,Системный администратор,"Москва ,  м. Коломенская , хочу переехать (Нидерланды, Австралия, Австрия, Чехия, Польша, Новая Зеландия, Норвегия, Бельгия, Сербия, Великобритания, США, Швеция, Греция, Германия, Дания, Израиль, Ирландия, Финляндия, Испания, Франция, Италия, Сингапур, Шв","проектная работа, стажировка, полная занятость","гибкий график, полный день, вахтовый метод","ФИНАМ, ЗАО",Ведущий специалист,07.05.2019 18:17,Не указано,высшее,М,30,89.0,Москва,True,False,True,True
41501,30000 руб.,Спортивный аналитик,"Санкт-Петербург ,  м. Комендантский проспект , готов к переезду (Нидерланды, Ирландия, Испания, Франция, Италия, Австрия, Чехия, Польша, Швейцария, Исландия, Япония, Шотландия, Португалия, Бельгия, Сербия, Великобритания, США, Хорватия, Латвия, Словения,",полная занятость,полный день,"Завод ""Huyndai""",Оператор контроля качества,07.05.2019 05:48,Не указано,высшее,М,29,89.0,Санкт-Петербург,True,False,True,True
41516,70000 руб.,Инженер-программист АСУ ТП,"Санкт-Петербург , готов к переезду (Нидерланды, Ирландия, Финляндия, Франция, Чехия, Швейцария, Новая Зеландия, Канада, Эстония, Норвегия, Шотландия, Россия, Бельгия, Китай, Венгрия, Великобритания, США, Швеция, Хорватия, Латвия, Словения, Германия, Дания","стажировка, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Группа «Илим»,Инженер АСУТП II категории,22.04.2019 15:12,Не указано,высшее,М,26,19.0,Санкт-Петербург,True,False,True,True
41636,100000 руб.,"Web-разработчик (PHP, JavaScript, Java, Node.js)","Курган , готов к переезду (Москва, Санкт-Петербург, Калининград) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день, удаленная работа","""Клут консалтинг""",PHP-разработчик,07.05.2019 19:25,Не указано,высшее,М,50,227.0,другие,True,False,True,True
41949,1000 USD,Веб-программист,"Павлодар , готов к переезду (Россия, Другие страны) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график",Markello,Junior Programmer,08.04.2019 10:46,Не указано,высшее,М,20,14.0,другие,True,False,True,True
42128,50000 руб.,Web-дизайнер,"Белоозёрский (Московская область) , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Индивидуальное предпринимательство / частная практика / фриланс,"Web-дизайнер, Верстальщик",26.04.2019 13:31,Имеется собственный автомобиль,высшее,М,25,34.0,другие,True,False,True,True
42412,30000 руб.,Инженер АСУ,"Нижнекамск , готов к переезду (Москва, Санкт-Петербург, Казань) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график, удаленная работа","ПАО ""НижнекамскНефтеХим""",оператор экстрагирования,26.04.2019 11:56,Имеется собственный автомобиль,высшее,М,26,87.0,другие,True,False,True,True
42655,50000 руб.,Администратор сайта,"Севастополь , готов к переезду (Украина, Австралия, Австрия, Ямайка, Беларусь, Бельгия, Тайвань, Великобритания, Швеция, Германия, Дания, Ирландия, Испания, Италия, Канада, Исландия, Мальта, Китай, Буркина Фасо, Иран, Боливия, Монако, Босния и Герцеговина",полная занятость,"гибкий график, полный день, сменный график, удаленная работа","ГБУЗС ""ЦЭМПиМК""",Инженер-программист,22.04.2019 13:21,Не указано,высшее,М,25,27.0,другие,True,False,True,True
